"num";"Наименование Технологические элементы(label)";"Код Технологические элементы(value)";"Комментарии";"Используемое изображение";"Другие варианты изображения";"Готово к проду"
"95";"ELK";"ELK";"Обслуживание / поддержка / Журналирование";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/log_elk.png?version=1&modificationDate=1632299213566&api=v2"";""Image"")";;
"96";"etcd";"ETCD";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_etcd.png?version=1&modificationDate=1632299345467&api=v2"";""Image"")";;
"97";"EXASOL";"EXASOL";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_exasol.jpg?version=1&modificationDate=1632299593499&api=v2"";""Image"")";;
"98";"FileMaker";"FILEMAKER";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_file-maker.png?version=1&modificationDate=1632299749383&api=v2"";""Image"")";;
"99";"Firebase Realtime Database";"FIREBASE_REALTIME_DATABASE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_firebase.png?version=1&modificationDate=1632299907254&api=v2"";""Image"")";;
"100";"Firebird";"FIREBIRD";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_firebird.png?version=1&modificationDate=1632300078596&api=v2"";""Image"")";;
"101";"Fission";"FISSION";"Серверная часть / Serverless функция";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/serverless_fission.jpg?version=2&modificationDate=1632301647827&api=v2"";""Image"")";;
"102";"Flash";"FLASH";"Клиентская часть \ Plug-in (клиентский)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/plug-in_flash.jpg?version=1&modificationDate=1632301847957&api=v2"";""Image"")";;
"103";"FluentBit";"FLUENTBIT";"Обслуживание / поддержка / Журналирование";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/log_fluent-bit.png?version=1&modificationDate=1632302022566&api=v2"";""Image"")";;
"104";"Fluentd";"FLUENTD";"Обслуживание / поддержка / Журналирование";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/log_fluentd.png?version=1&modificationDate=1632302151187&api=v2"";""Image"")";;
"105";"FN";"FN";"Серверная часть / Serverless функция";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/servless_fn.jpeg?version=1&modificationDate=1632302335859&api=v2"";""Image"")";;
"106";"Google BigQuery";"GOOGLE_BIGQUERY";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_google-big-query.png?version=2&modificationDate=1632302502159&api=v2"";""Image"")";;
"107";"Google Cloud Bigtable";"GOOGLE_CLOUD_BIGTABLE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_google-cloud-bigtable.png?version=1&modificationDate=1632302618789&api=v2"";""Image"")";;
"108";"Google Cloud Datastore";"GOOGLE_CLOUD_DATASTORE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_google-cloud-datastore.png?version=1&modificationDate=1632302828068&api=v2"";""Image"")";;
"109";"Google Cloud Firestore";"GOOGLE_CLOUD_FIRESTORE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_google-cloud-firestore.png?version=1&modificationDate=1632303041727&api=v2"";""Image"")";;
"110";"Google Cloud Spanner";"GOOGLE_CLOUD_SPANNER";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_google-cloud-spanner.png?version=1&modificationDate=1632303190363&api=v2"";""Image"")";;
"111";"Grafana";"GRAFANA";"Обслуживание / поддержка / Мониторинг";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/monitoring_grafana.png?version=1&modificationDate=1632303448972&api=v2"";""Image"")";;
"112";"Graphite";"GRAPHITE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_graphite.jpg?version=1&modificationDate=1632312886905&api=v2"";""Image"")";;
"113";"Graylog";"GRAYLOG";"Обслуживание / поддержка / Журналирование";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/log_graylog.jpg?version=1&modificationDate=1632313020708&api=v2"";""Image"")";;
"114";"Greenplum";"GREENPLUM";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_greenplum.jpg?version=1&modificationDate=1632313201508&api=v2"";""Image"")";;
"115";"H2";"H2";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_h2.jpg?version=1&modificationDate=1632313375443&api=v2"";""Image"")";;
"116";"haproxy";"HAPROXY";"Шлюз / Балансировщик";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/balancer_haproxy.png?version=2&modificationDate=1632313624667&api=v2"";""Image"")";;
"117";"Hazelcast";"HAZELCAST";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_hazelcast.png?version=1&modificationDate=1632313722529&api=v2"";""Image"")";;
"118";"HBase";"HBASE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_hbase.png?version=1&modificationDate=1632313848595&api=v2"";""Image"")";;
"119";"Hive";"HIVE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_hive.png?version=1&modificationDate=1632313992701&api=v2"";""Image"")";;
